City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Pisco,PE,-13.7,-76.2167,21.03,78,75,7.2,broken clouds
1,Hilo,US,19.7297,-155.09,23.85,91,90,5.66,heavy intensity rain
2,Nikolskoye,RU,59.7035,30.7861,-17.56,98,8,2.14,clear sky
3,Vaini,TO,-21.2,-175.2,27.09,89,75,6.17,broken clouds
4,Atuona,PF,-9.8,-139.0333,25.83,75,5,8.18,clear sky
5,Georgetown,MY,5.4112,100.3354,25.5,77,20,4.63,few clouds
6,Mayo,US,38.8876,-76.5119,10.77,59,75,0.0,broken clouds
7,Porto Velho,BR,-8.7619,-63.9039,28.03,78,20,1.03,few clouds
8,Lucea,JM,18.451,-78.1736,27.92,76,90,3.1,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,13.06,41,20,9.26,few clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,23.73,86,40,8.7,scattered clouds
11,Avarua,CK,-21.2078,-159.775,28.03,83,75,3.6,moderate rain
12,Xinqing,CN,48.2333,129.5,-10.22,99,85,1.48,overcast clouds
13,Waw,SS,7.7029,27.9953,28.14,28,61,1.96,broken clouds
14,Bredasdorp,ZA,-34.5322,20.0403,15.71,96,100,3.6,light rain
15,Victoria,HK,22.2855,114.1577,17.96,59,41,0.45,scattered clouds
16,Cape Town,ZA,-33.9258,18.4232,16.72,90,75,1.34,broken clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-26.47,82,46,4.0,scattered clouds
18,Bluff,NZ,-46.6,168.3333,12.11,50,72,5.74,broken clouds
19,Puerto Leguizamo,CO,-0.1934,-74.7819,25.28,95,97,1.13,heavy intensity rain
20,New Norfolk,AU,-42.7826,147.0587,16.48,51,51,0.89,broken clouds
21,Chokurdakh,RU,70.6333,147.9167,-40.87,99,58,2.66,broken clouds
22,Port Alfred,ZA,-33.5906,26.891,20.45,93,100,4.68,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,11.93,48,90,2.04,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,9.67,46,42,4.49,scattered clouds
25,Busselton,AU,-33.65,115.3333,15.58,74,61,7.09,broken clouds
26,Khatanga,RU,71.9667,102.5,-30.52,100,99,3.02,overcast clouds
27,Kodiak,US,57.79,-152.4072,0.73,75,90,2.57,light snow
28,Ginda,IN,30.6945,78.4932,6.21,81,49,3.05,scattered clouds
29,Sorland,NO,67.667,12.6934,-3.96,67,88,4.33,overcast clouds
30,Hithadhoo,MV,-0.6,73.0833,27.35,78,100,5.79,overcast clouds
31,Siuri,IN,23.9167,87.5333,18.8,93,100,1.49,overcast clouds
32,Yarkovo,RU,57.4028,67.0786,-10.43,95,83,1.15,broken clouds
33,Forecariah,GN,9.4306,-13.0881,25.64,85,29,1.56,scattered clouds
34,Rikitea,PF,-23.1203,-134.9692,24.63,74,98,3.83,overcast clouds
35,Albany,US,42.6001,-73.9662,3.23,59,97,2.02,overcast clouds
36,Souillac,MU,-20.5167,57.5167,25.76,72,24,4.98,few clouds
37,Tucson,US,32.2217,-110.9265,25.29,24,1,1.79,clear sky
38,Puerto Ayora,EC,-0.7393,-90.3518,21.37,83,57,4.47,broken clouds
39,Lompoc,US,34.6391,-120.4579,27.79,68,1,6.69,clear sky
40,Upernavik,GL,72.7868,-56.1549,-3.5,72,100,1.76,overcast clouds
41,Jamestown,US,42.097,-79.2353,6.4,49,100,5.36,overcast clouds
42,Marsa Matruh,EG,31.3525,27.2453,17.86,72,91,5.33,overcast clouds
43,Umm Lajj,SA,25.0213,37.2685,23.72,71,9,4.73,clear sky
44,Cherskiy,RU,68.75,161.3,-43.9,100,85,2.08,overcast clouds
