City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2021-12-04 17:17:53,-42.8794,147.3294,6.92,80,82,3.6
1,Guymon,US,2021-12-04 17:19:08,36.6828,-101.4816,8.04,57,1,2.06
2,Show Low,US,2021-12-04 17:14:16,34.2542,-110.0298,13.34,40,1,0.0
3,Ushuaia,AR,2021-12-04 17:19:08,-54.8,-68.3,16.81,27,75,6.17
4,Vila Franca Do Campo,PT,2021-12-04 17:19:08,37.7167,-25.4333,20.11,71,75,0.81
5,La Ronge,CA,2021-12-04 17:19:09,55.1001,-105.2842,-17.86,71,40,2.57
6,Xining,CN,2021-12-04 17:19:09,36.6167,101.7667,-2.72,30,0,1.27
7,Genhe,CN,2021-12-04 17:19:09,50.7833,121.5167,-18.34,100,100,1.03
8,Progreso,MX,2021-12-04 17:19:09,21.2833,-89.6667,27.84,58,43,4.07
9,Ribeira Grande,PT,2021-12-04 17:19:10,38.5167,-28.7,17.22,94,75,2.06
10,Chitral,PK,2021-12-04 17:19:10,35.8462,71.7858,7.44,79,100,1.04
11,Dong Hoi,VN,2021-12-04 17:19:10,17.4833,106.6,18.05,73,25,3.95
12,Bluff,NZ,2021-12-04 17:19:11,-46.6,168.3333,14.89,96,54,3.14
13,Staryy Nadym,RU,2021-12-04 17:19:11,65.6118,72.6842,-25.38,100,98,3.43
14,Las Vegas,US,2021-12-04 17:17:46,36.175,-115.1372,18.23,32,1,0.0
15,Constitucion,CL,2021-12-04 17:16:24,-35.3333,-72.4167,20.75,53,3,6.27
16,Butaritari,KI,2021-12-04 17:19:11,3.0707,172.7902,28.0,77,32,7.43
17,Iwanai,JP,2021-12-04 17:19:12,42.9744,140.5089,-2.94,83,99,5.33
18,East London,ZA,2021-12-04 17:17:56,-33.0153,27.9116,19.52,100,90,4.12
19,Avarua,CK,2021-12-04 17:19:11,-21.2078,-159.775,24.03,94,20,1.03
20,Saskylakh,RU,2021-12-04 17:19:12,71.9167,114.0833,-29.14,98,100,2.45
21,Vysotsk,RU,2021-12-04 17:19:12,60.6288,28.5705,-12.3,87,92,6.01
22,Gombong,ID,2021-12-04 17:19:13,-7.6072,109.5142,28.24,87,100,0.61
23,Punta Arenas,CL,2021-12-04 17:16:32,-53.15,-70.9167,13.06,67,75,8.75
24,Kapaa,US,2021-12-04 17:19:13,22.0752,-159.319,18.99,82,20,0.45
25,Cape Town,ZA,2021-12-04 17:18:57,-33.9258,18.4232,20.06,69,20,2.24
26,Severo-Kurilsk,RU,2021-12-04 17:19:13,50.6789,156.125,0.5,80,91,14.49
27,Verkhnevilyuysk,RU,2021-12-04 17:19:14,63.4453,120.3167,-15.83,98,100,1.17
28,Honningsvag,NO,2021-12-04 17:19:14,70.9821,25.9704,-4.37,80,13,13.0
29,Klaksvik,FO,2021-12-04 17:19:14,62.2266,-6.589,1.51,57,99,7.4
30,Arraial Do Cabo,BR,2021-12-04 17:19:15,-22.9661,-42.0278,26.98,54,40,4.63
31,Nikolskoye,RU,2021-12-04 17:19:15,59.7035,30.7861,-7.77,95,100,2.23
32,Puerto Maldonado,PE,2021-12-04 17:19:15,-12.6,-69.1833,29.22,65,40,3.6
33,Biryusinsk,RU,2021-12-04 17:19:16,55.9634,97.8235,-2.73,90,100,7.3
